종목명,현재가,전일비,등락률,거래량,거래대금,link
KODEX 미국배당다우존스타겟커버..,"10,760",30,+0.28%,+10.30%,"93,273",https://finance.naver.com/item/main.naver?code=483290
ACE 중국본토CSI300,"27,840",420,-1.49%,+32.37%,656,https://finance.naver.com/item/main.naver?code=168580
KODEX 미국종합채권ESG액티브(H),"101,655",415,-0.41%,-2.17%,496,https://finance.naver.com/item/main.naver?code=437080
TIGER 글로벌4차산업혁신기술(합..,"17,305",50,+0.29%,+4.86%,"7,226",https://finance.naver.com/item/main.naver?code=275980
TIGER 글로벌메타버스액티브,"11,900",10,+0.08%,+29.45%,"6,933",https://finance.naver.com/item/main.naver?code=412770
KODEX 미국나스닥100데일리커버..,"10,965",100,+0.92%,N/A,"686,157",https://finance.naver.com/item/main.naver?code=494300
HK 종합채권(AA-이상)액티브,"110,255",0,0.00%,+2.56%,0,https://finance.naver.com/item/main.naver?code=472920
TIGER 미국다우존스30,"30,930",35,+0.11%,+15.30%,"6,263",https://finance.naver.com/item/main.naver?code=245340
ACE 단기통안채,"103,755",0,0.00%,+0.80%,706,https://finance.naver.com/item/main.naver?code=190620
PLUS KOFR금리,"106,235",20,+0.02%,+0.81%,"20,214",https://finance.naver.com/item/main.naver?code=453010
ACE 미국30년국채엔화노출액티브..,"9,390",140,-1.47%,-10.79%,"159,879",https://finance.naver.com/item/main.naver?code=476750
마이티 26-09 특수채(AAA)액티브,"107,515",0,0.00%,+1.24%,0,https://finance.naver.com/item/main.naver?code=465780
KODEX K-메타버스액티브,"6,790",60,-0.88%,+8.04%,"30,326",https://finance.naver.com/item/main.naver?code=401470
TIGER 소프트웨어,"8,505",45,-0.53%,+13.70%,"120,406",https://finance.naver.com/item/main.naver?code=157490
WON 25-09 회사채(AA-이상)액티..,"53,820",10,-0.02%,+0.98%,6,https://finance.naver.com/item/main.naver?code=468820
BNK 26-06 특수채(AAA이상)액티..,"50,060",5,+0.01%,N/A,425,https://finance.naver.com/item/main.naver?code=495710
KOSEF 단기자금,"104,890",5,0.00%,+0.80%,417,https://finance.naver.com/item/main.naver?code=130730
RISE 메타버스,"5,980",95,-1.56%,+9.36%,"30,330",https://finance.naver.com/item/main.naver?code=401170
히어로즈 25-09 회사채(AA-이상)..,"50,425",0,0.00%,N/A,0,https://finance.naver.com/item/main.naver?code=489870
SOL 미국AI전력인프라,"13,260",15,-0.11%,+39.66%,"189,235",https://finance.naver.com/item/main.naver?code=486450
KODEX 배당가치,"13,405",80,-0.59%,-2.78%,"2,968",https://finance.naver.com/item/main.naver?code=325020
RISE 코스피,"25,760",45,+0.17%,-3.06%,"1,306",https://finance.naver.com/item/main.naver?code=302450
TIGER 여행레저,"3,055",5,-0.16%,-0.81%,"49,914",https://finance.naver.com/item/main.naver?code=228800
1Q K200액티브,"10,525",20,-0.19%,-3.39%,"8,300",https://finance.naver.com/item/main.naver?code=451060
TIGER 차이나CSI300레버리지(합..,"19,180",195,-1.01%,+71.08%,"5,007",https://finance.naver.com/item/main.naver?code=204480
KODEX 차이나CSI300,"12,685",45,-0.35%,+31.58%,"11,598",https://finance.naver.com/item/main.naver?code=283580
TIMEFOLIO Korea플러스배당액티..,"13,135",50,-0.38%,+0.24%,"43,042",https://finance.naver.com/item/main.naver?code=441800
RISE 2차전지TOP10인버스(합성),"32,540",115,+0.35%,+15.72%,"109,514",https://finance.naver.com/item/main.naver?code=465350
TIGER 일본엔선물,"8,835",35,-0.39%,-1.11%,"84,279",https://finance.naver.com/item/main.naver?code=292560
KODEX AI반도체핵심장비,"8,160",65,+0.80%,-15.06%,"99,316",https://finance.naver.com/item/main.naver?code=471990
HANARO MSCI Korea TR,"13,910",45,+0.32%,-5.20%,15,https://finance.naver.com/item/main.naver?code=332940
RISE 단기종합채권(AA-이상)액티..,"110,700",5,0.00%,+0.86%,"1,204",https://finance.naver.com/item/main.naver?code=385550
TIGER 국채3년,"107,615",45,-0.04%,+1.36%,897,https://finance.naver.com/item/main.naver?code=114820
HANARO 200TR,"42,280",80,+0.19%,-3.37%,394,https://finance.naver.com/item/main.naver?code=332930
TIGER 미국S&P500배당귀족,"12,755",30,-0.23%,+8.60%,"22,987",https://finance.naver.com/item/main.naver?code=429000
TIGER AI반도체핵심공정,"7,955",95,+1.21%,-13.91%,"51,257",https://finance.naver.com/item/main.naver?code=471760
KODEX K-로봇액티브,"12,255",80,+0.66%,-2.99%,"25,161",https://finance.naver.com/item/main.naver?code=445290
ACE 11월만기자동연장회사채AA-..,"10,450",0,0.00%,+0.87%,"1,781",https://finance.naver.com/item/main.naver?code=473440
TIGER Fn메타버스,"6,740",35,-0.52%,+8.14%,"8,129",https://finance.naver.com/item/main.naver?code=400970
KODEX 미국AI테크TOP10,"11,675",85,+0.73%,+25.62%,"113,864",https://finance.naver.com/item/main.naver?code=485540
HANARO 종합채권(AA-이상)액티브,"113,775",130,-0.11%,+2.57%,"5,191",https://finance.naver.com/item/main.naver?code=461500
ACE 미국빅테크TOP7 Plus레버리..,"30,630",600,+2.00%,+59.31%,"28,133",https://finance.naver.com/item/main.naver?code=465610
히어로즈 단기채권ESG액티브,"109,815",10,-0.01%,+1.05%,"10,002",https://finance.naver.com/item/main.naver?code=419890
파워 종합채권(AA-이상)액티브,"101,820",0,0.00%,N/A,0,https://finance.naver.com/item/main.naver?code=498180
TIGER 배당커버드콜액티브,"9,960",15,-0.15%,-1.79%,"15,273",https://finance.naver.com/item/main.naver?code=472150
TIGER 미디어컨텐츠,"5,550",5,-0.09%,+33.69%,"73,350",https://finance.naver.com/item/main.naver?code=228810
ACE 미국반도체데일리타겟커버드..,"10,240",110,+1.09%,+7.58%,"117,644",https://finance.naver.com/item/main.naver?code=480040
KODEX 글로벌비만치료제TOP2 Plu..,"11,070",50,-0.45%,-11.32%,"30,283",https://finance.naver.com/item/main.naver?code=476070
HANARO 머니마켓액티브,"50,780",0,0.00%,+0.88%,862,https://finance.naver.com/item/main.naver?code=486830
ACE 미국나스닥100채권혼합액티..,"13,550",65,+0.48%,+12.23%,"91,618",https://finance.naver.com/item/main.naver?code=438100
KOSEF 미국S&P500,"17,420",10,+0.06%,+17.30%,"1,516",https://finance.naver.com/item/main.naver?code=449770
PLUS 국공채머니마켓액티브,"50,530",10,+0.02%,+0.89%,7,https://finance.naver.com/item/main.naver?code=491230
KODEX 200미국채혼합,"12,880",10,-0.08%,+0.74%,"14,960",https://finance.naver.com/item/main.naver?code=284430
KODEX 은선물(H),"5,525",60,-1.07%,+2.48%,"95,488",https://finance.naver.com/item/main.naver?code=144600
KODEX 성장주,"13,715",60,+0.44%,-1.23%,"1,315",https://finance.naver.com/item/main.naver?code=325010
TIGER 200 중공업,"5,425",45,+0.84%,+11.50%,"137,138",https://finance.naver.com/item/main.naver?code=139230
ACE 미국30년국채선물레버리지(..,"6,005",115,-1.88%,-19.05%,"234,447",https://finance.naver.com/item/main.naver?code=452250
ACE 8월만기자동연장회사채AA-이..,"10,350",0,0.00%,+0.83%,455,https://finance.naver.com/item/main.naver?code=475280
TIGER 2차전지TOP10레버리지,"1,663",9,+0.54%,-35.14%,"775,125",https://finance.naver.com/item/main.naver?code=412570
RISE 국고채10년액티브,"106,920",125,-0.12%,+1.78%,374,https://finance.naver.com/item/main.naver?code=481430
TIGER 중국소비테마,"5,770",5,+0.09%,-8.35%,"4,076",https://finance.naver.com/item/main.naver?code=150460
KODEX 헬스케어,"16,710",110,+0.66%,-3.04%,"17,302",https://finance.naver.com/item/main.naver?code=266420
TIMEFOLIO 글로벌우주테크&방산..,"13,445",155,+1.17%,+21.09%,"50,965",https://finance.naver.com/item/main.naver?code=478150
TIGER 200선물레버리지,"11,395",10,+0.09%,-9.17%,"111,054",https://finance.naver.com/item/main.naver?code=267770
RISE 중기우량회사채,"106,635",5,0.00%,+1.15%,177,https://finance.naver.com/item/main.naver?code=136340
RISE 중국본토대형주CSI100,"18,580",60,-0.32%,+28.73%,"1,878",https://finance.naver.com/item/main.naver?code=174360
ACE 미국30년국채액티브,"10,305",90,-0.87%,-1.67%,"79,139",https://finance.naver.com/item/main.naver?code=476760
KODEX 삼성전자채권혼합,"10,555",10,+0.09%,-3.06%,"26,753",https://finance.naver.com/item/main.naver?code=448330
TIGER 미국배당다우존스타겟커버..,"12,005",25,+0.21%,+11.67%,"14,031",https://finance.naver.com/item/main.naver?code=458750
히어로즈 26-09 회사채(AA-이상)..,"52,445",25,-0.05%,+1.24%,532,https://finance.naver.com/item/main.naver?code=464240
TIGER 미국S&P500레버리지(합성 ..,"48,410",210,-0.43%,+15.73%,"5,141",https://finance.naver.com/item/main.naver?code=225040
TIGER 200선물인버스2X,"2,565",5,-0.19%,+7.31%,"979,824",https://finance.naver.com/item/main.naver?code=252710
RISE 중국본토CSI300,"10,680",175,-1.61%,+32.38%,"1,452",https://finance.naver.com/item/main.naver?code=463300
RISE 코스닥150선물레버리지,"8,035",85,+1.07%,-13.21%,"22,581",https://finance.naver.com/item/main.naver?code=278240
KODEX WTI원유선물(H),"14,695",185,+1.27%,+4.13%,"76,992",https://finance.naver.com/item/main.naver?code=261220
TIGER 인도니프티50레버리지(합..,"46,895",945,+2.06%,+4.43%,"2,948",https://finance.naver.com/item/main.naver?code=236350
ACE G2전기차&자율주행액티브,"11,855",110,+0.94%,+43.06%,"33,181",https://finance.naver.com/item/main.naver?code=414270
TIGER 경기방어,"10,050",20,+0.20%,-1.38%,"2,904",https://finance.naver.com/item/main.naver?code=139280
PLUS 신흥국MSCI(합성 H),"9,985",15,+0.15%,+2.26%,"8,703",https://finance.naver.com/item/main.naver?code=195980
ACE 24-12 회사채(AA-이상)액티..,"106,460",15,+0.01%,+0.79%,"1,192",https://finance.naver.com/item/main.naver?code=448880
TIGER 200TR,"18,895",35,+0.19%,-3.43%,"9,264",https://finance.naver.com/item/main.naver?code=310960
PLUS 미국S&P500(H),"24,585",15,-0.06%,+8.39%,"2,674",https://finance.naver.com/item/main.naver?code=269540
SOL CD금리&머니마켓액티브,"50,130",5,+0.01%,N/A,"40,555",https://finance.naver.com/item/main.naver?code=497880
SOL 미국S&P500ESG,"17,065",25,-0.15%,+16.24%,"14,179",https://finance.naver.com/item/main.naver?code=399110
KODEX 미국서학개미,"19,090",345,+1.84%,+45.20%,"238,352",https://finance.naver.com/item/main.naver?code=473460
KODEX 아시아달러채권ESG플러스..,"60,520",40,+0.07%,+6.48%,3,https://finance.naver.com/item/main.naver?code=437070
TIGER 글로벌AI&로보틱스 INDXX,"13,530",65,-0.48%,+18.32%,"15,455",https://finance.naver.com/item/main.naver?code=464310
PLUS 단기채권액티브,"115,485",0,0.00%,+0.97%,"6,788",https://finance.naver.com/item/main.naver?code=278620
KODEX 미국10년국채선물,"11,880",5,-0.04%,+2.72%,"23,773",https://finance.naver.com/item/main.naver?code=308620
HANARO Fn K-POP&미디어,"7,150",115,-1.58%,+31.97%,"68,292",https://finance.naver.com/item/main.naver?code=395290
HANARO 25-12 은행채(AA+이상)액..,"10,075",0,0.00%,N/A,"1,030",https://finance.naver.com/item/main.naver?code=489570
KODEX 미국메타버스나스닥액티브,"15,595",65,+0.42%,+36.77%,"14,076",https://finance.naver.com/item/main.naver?code=411420
KODEX 미국달러선물,"14,090",55,+0.39%,+8.97%,"28,126",https://finance.naver.com/item/main.naver?code=261240
TIGER 현대차그룹+펀더멘털,"26,080",435,-1.64%,-0.92%,"10,811",https://finance.naver.com/item/main.naver?code=138540
RISE 고배당,"13,245",25,-0.19%,-2.64%,"2,500",https://finance.naver.com/item/main.naver?code=266160
RISE 대형고배당10TR,"18,035",35,+0.19%,-3.82%,"3,047",https://finance.naver.com/item/main.naver?code=315960
ACE 마이크로소프트밸류체인액티..,"12,585",80,-0.63%,+27.99%,"32,642",https://finance.naver.com/item/main.naver?code=483330
TIGER 코스닥150 레버리지,"7,975",50,+0.63%,-12.82%,"231,971",https://finance.naver.com/item/main.naver?code=233160
SOL 한국형글로벌반도체액티브,"18,800",320,+1.73%,+9.45%,"10,485",https://finance.naver.com/item/main.naver?code=423170
TIGER 미국나스닥바이오,"23,440",230,-0.97%,+0.32%,"9,745",https://finance.naver.com/item/main.naver?code=203780
PLUS 고배당주위클리커버드콜,"10,000",0,0.00%,-0.23%,"128,802",https://finance.naver.com/item/main.naver?code=489030
KODEX 차이나H레버리지(H),"2,025",20,-0.98%,+35.25%,"61,849",https://finance.naver.com/item/main.naver?code=204450
RISE 미국S&P500(H),"14,835",10,-0.07%,+8.03%,"2,821",https://finance.naver.com/item/main.naver?code=453330
TIGER 골드선물(H),"17,215",205,-1.18%,+3.75%,"17,360",https://finance.naver.com/item/main.naver?code=319640
ACE 인도컨슈머파워액티브,"10,770",170,+1.60%,+3.26%,"3,701",https://finance.naver.com/item/main.naver?code=487910
KODEX TRF5050,"16,220",30,-0.18%,+8.33%,"3,789",https://finance.naver.com/item/main.naver?code=329660
ACE 구글밸류체인액티브,"11,440",170,+1.51%,+25.92%,"84,493",https://finance.naver.com/item/main.naver?code=483340
RISE 미국달러SOFR금리액티브(합..,"11,745",55,+0.47%,+9.00%,"2,587",https://finance.naver.com/item/main.naver?code=455960
KODEX 반도체레버리지,"7,685",165,+2.19%,N/A,"72,944",https://finance.naver.com/item/main.naver?code=494310
ACE 단기채권알파액티브,"108,800",35,+0.03%,+0.82%,433,https://finance.naver.com/item/main.naver?code=440640
HANARO CAPEX설비투자iSelect,"13,805",280,+2.07%,+0.56%,"112,965",https://finance.naver.com/item/main.naver?code=454320
RISE 글로벌원자력,"19,900",110,-0.55%,+31.13%,"38,777",https://finance.naver.com/item/main.naver?code=442320
SOL 미국30년국채액티브(H),"9,110",95,-1.03%,-9.13%,"19,222",https://finance.naver.com/item/main.naver?code=461600
PLUS 일본반도체소부장,"13,000",20,+0.15%,+3.63%,"1,371",https://finance.naver.com/item/main.naver?code=464920
TIGER 차이나전기차레버리지(합..,"6,060",110,-1.78%,+87.25%,"22,442",https://finance.naver.com/item/main.naver?code=456680
ACE AI반도체포커스,"12,320",115,+0.94%,-8.06%,"24,615",https://finance.naver.com/item/main.naver?code=469150
KODEX Top10동일가중,"7,375",5,+0.07%,-4.53%,607,https://finance.naver.com/item/main.naver?code=395170
ACE 중장기국공채액티브,"106,785",65,-0.06%,+1.56%,2,https://finance.naver.com/item/main.naver?code=272910
KODEX 국채선물10년,"70,325",235,-0.33%,+1.92%,720,https://finance.naver.com/item/main.naver?code=152380
에셋플러스 글로벌플랫폼액티브,"13,700",190,+1.41%,+46.69%,"4,997",https://finance.naver.com/item/main.naver?code=407830
KODEX TRF7030,"18,865",50,-0.26%,+10.65%,"7,281",https://finance.naver.com/item/main.naver?code=329670
SOL 미국TOP5채권혼합40 Solacti..,"13,575",65,-0.48%,+9.73%,"15,123",https://finance.naver.com/item/main.naver?code=447620
SOL 머니마켓액티브,"50,875",0,0.00%,+0.83%,"5,237",https://finance.naver.com/item/main.naver?code=484890
PLUS 200TR,"38,250",10,-0.03%,-3.47%,141,https://finance.naver.com/item/main.naver?code=491220
PLUS 고배당주채권혼합,"12,535",5,+0.04%,+0.80%,"13,969",https://finance.naver.com/item/main.naver?code=251600
KODEX 미국러셀2000(H),"14,210",35,-0.25%,+9.96%,"13,533",https://finance.naver.com/item/main.naver?code=280930
KODEX 인도타타그룹,"10,795",75,+0.70%,-1.88%,"6,639",https://finance.naver.com/item/main.naver?code=477730
TIGER 차이나HSCEI,"11,295",45,-0.40%,+27.34%,"19,080",https://finance.naver.com/item/main.naver?code=245360
마이다스 코스피액티브,"19,670",10,-0.05%,-2.26%,"16,037",https://finance.naver.com/item/main.naver?code=403790
HANARO 원자력iSelect,"17,725",495,+2.87%,+2.10%,"48,351",https://finance.naver.com/item/main.naver?code=434730
KODEX 미국달러선물인버스,"7,885",30,-0.38%,-7.05%,"89,489",https://finance.naver.com/item/main.naver?code=261270
TIGER 일본반도체FACTSET,"11,720",80,+0.69%,+0.13%,"10,018",https://finance.naver.com/item/main.naver?code=465660
HANARO e커머스,"9,960",5,-0.05%,+8.08%,"1,967",https://finance.naver.com/item/main.naver?code=322400
RISE 국고채3년,"109,880",70,-0.06%,+1.39%,35,https://finance.naver.com/item/main.naver?code=114100
SOL 금융지주플러스고배당,"11,060",40,-0.36%,+1.48%,"47,427",https://finance.naver.com/item/main.naver?code=484880
TIGER 조선TOP10,"11,425",125,-1.08%,N/A,"190,804",https://finance.naver.com/item/main.naver?code=494670
KOSEF 미국나스닥100(H),"17,760",80,+0.45%,+11.44%,"63,542",https://finance.naver.com/item/main.naver?code=453080
TIGER 레버리지,"14,705",10,-0.07%,-8.74%,"67,791",https://finance.naver.com/item/main.naver?code=123320
WON 대한민국국고채액티브,"58,525",120,-0.20%,+3.78%,251,https://finance.naver.com/item/main.naver?code=426150
PLUS 미국S&P500,"16,120",50,+0.31%,+16.33%,"3,792",https://finance.naver.com/item/main.naver?code=429760
RISE AI&로봇,"8,040",80,+1.01%,+5.57%,"76,593",https://finance.naver.com/item/main.naver?code=469070
SOL 국고채3년,"107,160",255,+0.24%,+1.14%,61,https://finance.naver.com/item/main.naver?code=438560
RISE 버크셔포트폴리오TOP10,"12,985",55,+0.43%,+14.73%,"13,226",https://finance.naver.com/item/main.naver?code=475350
HANARO Fn조선해운,"14,735",165,-1.11%,+16.41%,"56,317",https://finance.naver.com/item/main.naver?code=441540
RISE 미국배당100데일리고정커버..,"10,395",10,+0.10%,N/A,"44,011",https://finance.naver.com/item/main.naver?code=490600
KODEX 미디어&엔터테인먼트,"12,045",70,-0.58%,+16.49%,"16,760",https://finance.naver.com/item/main.naver?code=266360
KODEX 차이나H,"19,550",120,+0.62%,+28.38%,"4,356",https://finance.naver.com/item/main.naver?code=099140
TIMEFOLIO 코스피액티브,"9,015",0,0.00%,-1.58%,"3,185",https://finance.naver.com/item/main.naver?code=385720
KOSEF 통안채1년,"106,270",20,+0.02%,+0.90%,552,https://finance.naver.com/item/main.naver?code=122260
HANARO 32-10 국고채액티브,"58,080",165,-0.28%,+2.32%,263,https://finance.naver.com/item/main.naver?code=448490
KODEX 미국S&P500배당귀족커버드..,"8,710",25,-0.29%,+1.31%,"8,896",https://finance.naver.com/item/main.naver?code=276970
KODEX K-신재생에너지액티브,"16,365",215,+1.33%,-6.92%,"3,841",https://finance.naver.com/item/main.naver?code=385510
KOSEF 글로벌AI반도체,"15,910",50,-0.31%,+13.35%,"23,032",https://finance.naver.com/item/main.naver?code=473490
RISE 금융채액티브,"103,120",40,-0.04%,+1.41%,139,https://finance.naver.com/item/main.naver?code=336160
PLUS 미국채30년액티브,"53,500",345,-0.64%,-1.64%,"3,691",https://finance.naver.com/item/main.naver?code=464470
KODEX 인도Nifty50레버리지(합성..,"18,725",295,+1.60%,+3.63%,"6,358",https://finance.naver.com/item/main.naver?code=453820
파워 200,"33,425",5,-0.01%,-3.50%,10,https://finance.naver.com/item/main.naver?code=152870
RISE 글로벌리얼티인컴,"10,490",95,-0.90%,-1.07%,"12,592",https://finance.naver.com/item/main.naver?code=475380
TIGER 글로벌AI인프라액티브,"13,830",95,+0.69%,+32.64%,"25,917",https://finance.naver.com/item/main.naver?code=491010
ACE 글로벌인컴TOP10 SOLACTIVE,"11,500",20,-0.17%,+10.20%,"21,975",https://finance.naver.com/item/main.naver?code=460960
KODEX 유럽탄소배출권선물ICE(H),"9,560",185,-1.90%,-1.02%,"17,769",https://finance.naver.com/item/main.naver?code=400570
TIGER 200 헬스케어,"19,770",5,+0.03%,-3.98%,"9,104",https://finance.naver.com/item/main.naver?code=227540
KODEX 미국달러선물레버리지,"16,300",100,+0.62%,+17.69%,"32,205",https://finance.naver.com/item/main.naver?code=261250
ACE 삼성그룹섹터가중,"13,680",5,-0.04%,-9.52%,"1,270",https://finance.naver.com/item/main.naver?code=108450
KODEX 200IT TR,"10,610",15,+0.14%,-10.36%,"3,768",https://finance.naver.com/item/main.naver?code=363580
TIGER 글로벌클라우드컴퓨팅INDX..,"13,015",195,-1.48%,+41.21%,"20,411",https://finance.naver.com/item/main.naver?code=371450
KODEX 건설,"2,835",15,-0.53%,-11.35%,"15,503",https://finance.naver.com/item/main.naver?code=117700
TIGER S&P글로벌헬스케어(합성),"23,145",15,-0.06%,-4.38%,"1,094",https://finance.naver.com/item/main.naver?code=248270
KODEX 미국부동산리츠(H),"12,430",60,-0.48%,-3.51%,"71,288",https://finance.naver.com/item/main.naver?code=352560
WON 단기국공채액티브,"53,005",10,+0.02%,+0.85%,1,https://finance.naver.com/item/main.naver?code=458030
TIGER 인버스,"5,180",0,0.00%,+4.33%,"139,948",https://finance.naver.com/item/main.naver?code=123310
KOSEF 미국달러선물,"15,990",25,+0.16%,+8.75%,"2,198",https://finance.naver.com/item/main.naver?code=138230
TIGER 인터넷TOP10,"4,080",35,-0.85%,+25.46%,"140,710",https://finance.naver.com/item/main.naver?code=365000
SOL 자동차TOP3플러스,"10,340",145,-1.38%,-2.37%,"9,039",https://finance.naver.com/item/main.naver?code=466930
RISE 2차전지TOP10,"9,455",55,-0.58%,-16.40%,"180,656",https://finance.naver.com/item/main.naver?code=465330
KODEX 200ESG,"13,330",10,-0.07%,-0.89%,121,https://finance.naver.com/item/main.naver?code=337160
KODEX 미국테크1조달러기업포커..,"12,795",90,-0.70%,+21.61%,"42,934",https://finance.naver.com/item/main.naver?code=491090
KODEX 고배당,"10,380",10,-0.10%,+1.60%,"17,833",https://finance.naver.com/item/main.naver?code=279530
DAISHIN343 K200,"33,560",180,+0.54%,-3.54%,21,https://finance.naver.com/item/main.naver?code=434960
KODEX iShares미국하이일드액티..,"11,575",0,0.00%,+9.44%,"44,482",https://finance.naver.com/item/main.naver?code=468380
HANARO Fn K-뉴딜디지털플러스,"7,505",25,-0.33%,-3.28%,"3,457",https://finance.naver.com/item/main.naver?code=368190
PLUS 미국장기우량회사채,"97,340",405,-0.41%,+2.32%,628,https://finance.naver.com/item/main.naver?code=332620
ACE 200TR,"21,660",15,+0.07%,-3.56%,"4,566",https://finance.naver.com/item/main.naver?code=332500
ACE 포스코그룹포커스,"4,575",25,-0.54%,-25.93%,"92,693",https://finance.naver.com/item/main.naver?code=469170
KODEX 코스피100,"25,830",15,+0.06%,-3.26%,"17,010",https://finance.naver.com/item/main.naver?code=237350
TIGER 유로스탁스50(합성 H),"17,640",65,-0.37%,+3.45%,"1,564",https://finance.naver.com/item/main.naver?code=195930
TIGER 차이나바이오테크SOLACTIV..,"5,845",85,-1.43%,+23.93%,"4,431",https://finance.naver.com/item/main.naver?code=371470
TIMEFOLIO 미국S&P500액티브,"22,450",215,+0.97%,+25.76%,"13,946",https://finance.naver.com/item/main.naver?code=426020
RISE 컨택트대표,"6,050",65,-1.06%,+5.80%,527,https://finance.naver.com/item/main.naver?code=388280
SOL 미국나스닥100,"13,205",85,+0.65%,+20.51%,"37,998",https://finance.naver.com/item/main.naver?code=476030
ACE 5월만기자동연장회사채AA-이..,"10,355",5,-0.05%,+0.78%,21,https://finance.naver.com/item/main.naver?code=475270
KODEX 한국대만IT프리미어,"25,120",140,+0.56%,+8.86%,"14,127",https://finance.naver.com/item/main.naver?code=298770
KoAct 배당성장액티브,"9,290",35,-0.38%,-3.42%,"6,203",https://finance.naver.com/item/main.naver?code=476850
KoAct 글로벌AI&로봇액티브,"15,575",240,+1.57%,+22.05%,"15,675",https://finance.naver.com/item/main.naver?code=471040
KOSEF 국고채10년레버리지,"118,210",930,-0.78%,+3.24%,3,https://finance.naver.com/item/main.naver?code=167860
KODEX 증권,"7,760",0,0.00%,-0.77%,"6,917",https://finance.naver.com/item/main.naver?code=102970
KODEX 200타겟위클리커버드콜,"9,910",10,+0.10%,N/A,"484,092",https://finance.naver.com/item/main.naver?code=498400
RISE 게임테마,"8,900",110,-1.22%,+6.38%,"113,992",https://finance.naver.com/item/main.naver?code=300640
ACE 미국주식베스트셀러,"18,490",120,+0.65%,+41.42%,"66,324",https://finance.naver.com/item/main.naver?code=473590
HANARO 200선물레버리지,"16,505",35,-0.21%,-9.20%,949,https://finance.naver.com/item/main.naver?code=304780
PLUS 미국나스닥테크,"36,730",85,-0.23%,+16.15%,867,https://finance.naver.com/item/main.naver?code=287180
WON 미국S&P500,"16,375",60,+0.37%,+16.79%,"7,091",https://finance.naver.com/item/main.naver?code=444490
PLUS 우주항공&UAM,"12,945",35,-0.27%,+0.31%,"6,873",https://finance.naver.com/item/main.naver?code=421320
SOL 미국AI반도체칩메이커,"11,080",150,+1.37%,+13.26%,"44,369",https://finance.naver.com/item/main.naver?code=479620
TIGER 글로벌멀티에셋TIF액티브,"11,635",20,+0.17%,+9.23%,"2,066",https://finance.naver.com/item/main.naver?code=440340
RISE 미국30년국채커버드콜(합성..,"9,730",65,-0.66%,+0.83%,"12,936",https://finance.naver.com/item/main.naver?code=472830
KoAct 코리아밸류업액티브,"9,725",25,+0.26%,N/A,"6,132",https://finance.naver.com/item/main.naver?code=495230
RISE 코리아밸류업,"9,525",5,-0.05%,N/A,"98,101",https://finance.naver.com/item/main.naver?code=495050
ACE KPOP포커스,"8,500",120,-1.39%,+42.83%,"118,334",https://finance.naver.com/item/main.naver?code=475050
PLUS 미국단기회사채(AAA~A),"128,630",290,+0.23%,+7.84%,121,https://finance.naver.com/item/main.naver?code=332610
KOSEF 글로벌퓨처모빌리티,"12,005",0,0.00%,+19.99%,0,https://finance.naver.com/item/main.naver?code=394350
TIGER 구리실물,"11,405",10,-0.09%,+5.74%,"4,838",https://finance.naver.com/item/main.naver?code=160580
KODEX 차이나심천ChiNext(합성),"10,015",105,-1.04%,+54.15%,"6,011",https://finance.naver.com/item/main.naver?code=256750
KODEX 코스피TR,"12,440",0,0.00%,-3.08%,"7,133",https://finance.naver.com/item/main.naver?code=359210
KODEX 3대농산물선물(H),"8,420",50,-0.59%,-0.88%,"6,988",https://finance.naver.com/item/main.naver?code=271060
TIGER 차이나항셍테크레버리지(..,"6,800",110,-1.59%,+53.90%,"29,376",https://finance.naver.com/item/main.naver?code=438320
HANARO 글로벌럭셔리S&P(합성),"20,370",95,+0.47%,+20.15%,"2,973",https://finance.naver.com/item/main.naver?code=354350
RISE 중장기국공채액티브,"109,685",50,-0.05%,+1.58%,29,https://finance.naver.com/item/main.naver?code=272570
KODEX 시스템반도체,"7,960",80,+1.02%,-10.91%,"36,625",https://finance.naver.com/item/main.naver?code=395160
TIGER 배당성장,"19,170",65,-0.34%,-2.46%,"4,146",https://finance.naver.com/item/main.naver?code=211560
ACE 일본반도체,"11,250",40,+0.36%,+1.13%,523,https://finance.naver.com/item/main.naver?code=469160
KODEX K-친환경조선해운액티브,"14,055",130,-0.92%,+15.14%,"19,540",https://finance.naver.com/item/main.naver?code=445150
RISE 5G테크,"9,665",190,+2.01%,-8.01%,"1,280",https://finance.naver.com/item/main.naver?code=367760
RISE 미국반도체NYSE,"15,530",340,+2.24%,+7.93%,"12,433",https://finance.naver.com/item/main.naver?code=469060
ACE 코리아밸류업,"9,760",70,+0.72%,N/A,308,https://finance.naver.com/item/main.naver?code=496120
KODEX 미국S&P500금융,"17,560",10,+0.06%,+20.13%,"11,460",https://finance.naver.com/item/main.naver?code=453650
RISE 미국반도체NYSE(H),"14,190",250,+1.79%,-0.19%,"3,292",https://finance.naver.com/item/main.naver?code=469050
ACE 인도네시아MSCI(합성),"10,070",40,+0.40%,-5.02%,"7,283",https://finance.naver.com/item/main.naver?code=256440
FOCUS AI코리아액티브,"11,845",50,+0.42%,-4.76%,24,https://finance.naver.com/item/main.naver?code=448570
TIGER 글로벌이노베이션액티브,"17,345",135,+0.78%,+18.36%,749,https://finance.naver.com/item/main.naver?code=387270
SOL 미국배당다우존스TR,"10,825",5,+0.05%,N/A,"112,180",https://finance.naver.com/item/main.naver?code=493420
